debt_id,collected_amount,date_of_trans
6043,31.0,2021-02-28
8050,50.0,2021-03-01
5967,36.4,2021-02-28
5948,39.44,2021-02-28
8025,36.0,2021-02-28
8022,39.55,2021-02-28
5881,24.0,2021-02-28
5877,22.0,2021-02-28
5865,35.0,2021-02-28
8012,24.0,2021-02-28
5846,27.6039,2021-02-28
5845,62.0,2021-02-28
8005,40.0,2021-02-28
5836,27.8,2021-02-28
7996,45.09,2021-02-28
7995,28.0,2021-02-28
5792,21.86,2021-02-28
7988,29.42,2021-02-28
8158,178.052,2021-02-28
6089,29.25,2021-02-28
4308,50.0,2021-02-01
6573,89.0,2021-02-14
3798,84.196,2021-02-28
6585,33.6574,2021-02-28
3803,106.2303,2021-02-28
8113,44.0,2021-02-18
3982,14.299,2021-02-28
3897,10.0,2021-02-28
6087,51.159,2021-02-28
3942,58.1822,2021-02-28
8084,44.5,2021-02-28
5970,15.0,2021-02-28
5803,20.0,2021-02-28
3681,63.0,2021-02-28
6321,25.0,2021-02-28
6183,44.1,2021-02-28
4025,40.0,2021-02-28
3637,30.233,2021-02-28
8202,30.372,2021-03-06
8050,50.0,2021-03-06
8010,25.0,2021-03-06
7984,32.0,2021-03-06
8223,75.55,2021-03-06
8136,46.0,2021-03-06
8266,33.0,2021-03-06
8250,41.68,2021-03-06
8071,20.0,2021-03-06
8079,25.0,2021-03-06
8195,20.0,2021-03-06
6506,29.184,2021-03-06
6083,19.5,2021-03-06
6036,11.7871,2021-03-06
6017,39.076,2021-03-06
6159,22.631,2021-03-06
5951,34.9745,2021-03-06
5931,20.0,2021-03-06
5933,14.0,2021-03-06
5901,28.5,2021-03-06
6666,35.0,2021-03-06
6059,39.44,2021-03-06
6542,44.05,2021-03-06
6355,44.16,2021-03-06
6597,20.0,2021-03-06
6266,44.1,2021-03-06
6591,45.25,2021-03-06
6627,65.304,2021-03-06
6000,198.5284,2021-03-06
6118,34.2153,2021-03-06
6357,17.0,2021-03-06
6705,25.0,2021-03-06
6647,29.0,2021-03-06
5982,72.3,2021-03-06
6340,30.0,2021-03-06
6181,22.05,2021-03-06
5867,50.0,2021-03-06
6031,41.0,2021-03-06
6283,55.0,2021-03-06
6702,44.6293,2021-03-06
5849,74.998,2021-03-06
3897,10.0,2021-03-06
4225,65.75,2021-03-06
3892,111.93,2021-03-06
4028,35.0,2021-03-06
8062,21.3211,2021-03-06
8232,82.0,2021-03-09
6745,46.0,2021-01-31
6742,8.0,2021-01-31
6738,51.0,2021-01-31
6725,15.0,2021-01-31
6712,75.35,2021-01-31
6696,66.0,2021-01-31
6692,27.84,2021-01-31
6690,27.413,2021-01-31
6687,45.2,2021-01-31
6681,43.2,2021-01-31
6642,31.6,2021-01-31
6641,46.4,2021-01-31
6637,55.85,2021-01-31
6636,27.85,2021-01-31
6622,55.1,2021-01-31
6616,60.0,2021-01-31
6611,20.88,2021-01-31
6593,20.0,2021-01-31
6575,20.9,2021-01-31
6572,22.04,2021-01-31
6569,30.45,2021-01-31
6566,27.85,2021-01-31
6555,23.0,2021-01-31
6549,130.35,2021-01-31
6533,27.0,2021-01-31
6528,34.8,2021-01-31
6501,28.0934,2021-01-31
6497,45.69,2021-01-31
6491,13.92,2021-01-31
6486,42.0,2021-01-31
6483,62.0,2021-01-31
6469,50.0,2021-01-31
6461,35.0,2021-01-31
6446,17.358,2021-01-31
6432,41.7603,2021-01-31
6431,78.64,2021-01-31
6420,23.95,2021-01-31
6415,19.72,2021-01-31
6411,14.45,2021-01-31
6409,3.39,2021-01-31
6404,41.0,2021-01-31
6390,17.4,2021-01-31
6389,13.92,2021-01-31
6372,43.52,2021-01-31
6358,44.0,2021-01-31
6337,22.05,2021-01-31
6334,17.0,2021-01-31
6331,44.0,2021-01-31
6303,20.8802,2021-01-31
6301,25.0,2021-01-31
6297,55.0,2021-01-31
6282,52.118,2021-01-31
6253,20.0,2021-01-31
6250,21.0,2021-01-31
6239,32.45,2021-01-31
6207,17.4,2021-01-31
6177,21.1204,2021-01-31
6176,41.0,2021-01-31
6166,28.34,2021-01-31
6134,22.05,2021-01-31
6131,45.5,2021-01-31
6128,22.0,2021-01-31
6123,37.11,2021-01-31
6120,22.0,2021-01-31
6112,55.0,2021-01-31
6111,50.11,2021-01-31
6108,40.0,2021-01-31
6105,51.45,2021-01-31
6103,22.04,2021-01-31
6096,42.0,2021-01-31
6091,37.09,2021-01-31
6078,37.2,2021-01-31
6076,53.35,2021-01-31
6074,39.7171,2021-01-31
6053,46.0,2021-01-31
6049,40.077,2021-01-31
6047,67.28,2021-01-31
6030,22.05,2021-01-31
6027,37.05,2021-01-31
6020,45.0,2021-01-31
6010,15.0,2021-01-31
5998,30.5338,2021-01-31
5994,41.76,2021-01-31
5971,22.7306,2021-01-31
5936,20.0,2021-01-31
5908,61.173,2021-01-31
5904,37.12,2021-01-31
5900,23.5,2021-01-31
5892,32.48,2021-01-31
5880,22.05,2021-01-31
5873,15.155,2021-01-31
5862,22.0,2021-01-31
5848,20.88,2021-01-31
5837,27.7282,2021-01-31
5828,58.25,2021-01-31
5824,24.35,2021-01-31
5811,35.0,2021-01-31
5808,58.0003,2021-01-31
5804,30.0,2021-01-31
5800,37.58,2021-01-31
5798,25.7864,2021-01-31
5789,21.0,2021-01-31
5788,29.0,2021-01-31
5785,27.818,2021-01-31
5781,26.4948,2021-01-31
5776,103.73,2021-01-31
5860,25.0,2021-01-31
3834,40.0,2021-03-14
4010,52.233,2021-03-14
4189,30.0,2021-03-14
4070,326.5044,2021-03-14
5983,23.2,2021-03-14
6563,27.85,2021-03-14
6329,50.0,2021-03-14
6624,53.0,2021-03-14
6405,22.8,2021-03-14
6429,22.0,2021-03-14
6398,27.75,2021-03-14
6272,35.0,2021-03-14
6518,37.05,2021-03-14
6475,32.48,2021-03-14
5884,10.0,2021-03-14
5969,5.3,2021-03-14
6511,44.0,2021-03-14
5943,18.56,2021-03-14
6281,19.4812,2021-03-14
6062,20.88,2021-03-14
6595,10.292,2021-03-14
6455,25.95,2021-03-14
6157,11.8,2021-03-14
6058,34.35,2021-03-14
6325,28.29,2021-03-14
6294,42.676,2021-03-14
6088,24.15,2021-03-14
6561,31.0,2021-03-14
5962,20.0,2021-03-14
6448,20.0,2021-03-14
6564,34.987,2021-03-14
6228,40.0,2021-03-14
8160,27.85,2021-03-14
8046,25.0,2021-03-14
8059,20.0,2021-03-14
8086,20.0,2021-03-14
7992,39.44,2021-03-14
9283,56.32,2021-03-14
8472,90.0,2021-03-14
8744,66.4,2021-03-14
9783,50.56,2021-03-14
9733,51.04,2021-03-14
10093,47.0,2021-03-14
10214,44.1,2021-03-14
8405,45.0,2021-03-14
9715,86.25,2021-03-14
8859,33.0,2021-03-14
9688,35.0,2021-03-14
9505,52.95,2021-03-14
8988,62.0,2021-03-14
9652,100.0,2021-03-14
8604,73.0,2021-03-14
8724,67.355,2021-03-14
8741,34.0,2021-03-14
9651,66.0,2021-03-14
8537,76.4955,2021-03-14
9332,30.0,2021-03-14
8676,35.0,2021-03-14
8416,44.0,2021-03-14
9037,61.0684,2021-03-14
9403,27.5,2021-03-14
9063,15.0,2021-03-14
8685,19.75,2021-03-14
9389,53.0,2021-03-14
8608,51.0,2021-03-14
8674,35.0,2021-03-14
9628,30.0,2021-03-14
8956,50.0,2021-03-14
9627,30.0,2021-03-14
8831,32.35,2021-03-14
9265,28.3,2021-03-14
9426,54.0,2021-03-14
8928,35.0,2021-03-14
9506,52.95,2021-03-14
9756,50.0,2021-03-14
8370,50.2,2021-03-14
8482,40.0,2021-03-14
8622,72.0,2021-03-14
9003,31.0,2021-03-14
9208,57.75,2021-03-14
9579,52.5,2021-03-14
9130,30.0,2021-03-14
9760,50.882,2021-03-14
8882,44.0,2021-03-14
9263,26.75,2021-03-14
9626,26.0,2021-03-14
9432,54.03,2021-03-14
9462,51.0,2021-03-14
8811,50.0,2021-03-14
8423,85.0,2021-03-14
9738,26.0,2021-03-14
8718,34.0,2021-03-14
10247,22.4,2021-03-14
10213,22.1,2021-03-14
9857,50.0,2021-03-14
9903,49.0,2021-03-14
10307,44.1924,2021-03-14
9957,30.0,2021-03-14
9790,50.5,2021-03-14
10156,45.0,2021-03-14
10034,40.0,2021-03-14
10294,44.3,2021-03-14
10212,44.9,2021-03-14
9804,25.0,2021-03-14
10313,44.0,2021-03-14
9838,49.75,2021-03-14
10323,44.14,2021-03-14
10368,22.0,2021-03-14
10372,21.0,2021-03-14
10383,21.0,2021-03-14
10440,27.85,2021-03-14
10396,38.0,2021-03-14
10397,37.9058,2021-03-14
8727,34.72,2021-03-14
10497,10.4,2021-03-14
10495,13.92,2021-03-14
10477,10.5,2021-03-14
5948,4.15,2021-03-14
9781,51.0,2021-03-18
4209,66.15,2021-03-20
4053,36.0,2021-03-20
6135,20.0,2021-03-20
5806,50.0,2021-03-20
5921,30.0,2021-03-20
6467,46.4,2021-03-20
5879,27.0,2021-03-20
6482,44.5,2021-03-20
6685,56.5,2021-03-20
6350,28.0,2021-03-20
5854,44.08,2021-03-20
5980,10.0,2021-03-20
6545,23.46,2021-03-20
6706,17.4,2021-03-20
5894,38.17,2021-03-20
6192,16.75,2021-03-20
5859,27.2411,2021-03-20
5939,16.24,2021-03-20
6472,20.88,2021-03-20
5874,33.2015,2021-03-20
8247,28.0,2021-03-20
8265,36.2,2021-03-23
8219,30.677,2021-03-20
8181,20.0,2021-03-20
8984,30.0,2021-03-20
9617,26.0,2021-03-20
9672,50.0,2021-03-20
10473,11.0,2021-03-20
9215,30.0,2021-03-20
8687,34.5,2021-03-20
8883,63.1815,2021-03-20
8406,45.0,2021-03-20
8610,73.0,2021-03-20
9286,82.36,2021-03-23
10300,22.25,2021-03-20
9187,29.15,2021-03-20
9729,51.04,2021-03-20
8866,63.5,2021-03-20
9406,54.4429,2021-03-20
8691,34.35,2021-03-20
8835,32.2,2021-03-20
8509,70.0,2021-03-20
9768,26.0,2021-03-20
9008,35.0,2021-03-20
8897,60.0,2021-03-20
9186,40.0,2021-03-20
8976,32.0,2021-03-20
9565,50.0,2021-03-20
8917,31.3,2021-03-20
8948,32.0,2021-03-20
9287,30.0,2021-03-20
8899,63.0,2021-03-20
9268,68.9991,2021-03-20
10126,46.2793,2021-03-23
9057,60.6042,2021-03-20
8750,66.229,2021-03-20
9335,37.1,2021-03-20
8814,32.6,2021-03-20
9764,25.0,2021-03-20
9248,57.0,2021-03-20
9258,36.0,2021-03-20
8967,33.0,2021-03-20
8777,65.0,2021-03-20
8362,54.0,2021-03-20
9149,59.1,2021-03-20
8488,39.75,2021-03-20
8557,75.0,2021-03-20
9101,30.0,2021-03-20
9637,50.0,2021-03-20
9364,27.6,2021-03-20
9598,26.0,2021-03-20
9655,25.8,2021-03-20
9597,26.2,2021-03-20
8898,63.0,2021-03-20
9063,30.0,2021-03-20
8470,76.8,2021-03-20
9339,28.0,2021-03-20
8799,65.39,2021-03-20
9457,75.0,2021-03-20
9691,51.2,2021-03-20
8521,50.0,2021-03-20
9166,30.0,2021-03-20
8389,47.0,2021-03-20
8664,69.7445,2021-03-20
8775,65.75,2021-03-20
8748,33.05,2021-03-20
9497,30.0,2021-03-20
9732,51.0,2021-03-20
9511,52.0,2021-03-20
9765,30.0,2021-03-20
9444,27.0,2021-03-20
9728,51.0,2021-03-20
9440,54.0,2021-03-20
9368,55.125,2021-03-20
8827,32.35,2021-03-20
9142,29.6,2021-03-20
9435,54.0,2021-03-20
9730,51.0,2021-03-20
9467,53.4,2021-03-20
8754,34.0,2021-03-20
9253,30.0,2021-03-20
8804,32.5,2021-03-20
8730,37.0,2021-03-20
8616,36.0,2021-03-20
8840,33.05,2021-03-20
9548,52.3604,2021-03-20
9415,33.0,2021-03-20
8490,39.75,2021-03-20
8650,36.0,2021-03-20
8951,20.0,2021-03-23
8632,50.0,2021-03-20
9298,35.0,2021-03-20
10251,22.25,2021-03-20
9997,48.0,2021-03-20
10081,46.924,2021-03-20
10127,23.15,2021-03-20
10048,50.0,2021-03-20
10047,23.65,2021-03-20
10242,22.5,2021-03-20
10225,22.0,2021-03-20
9852,49.7,2021-03-20
10167,10.0,2021-03-20
9999,24.0,2021-03-20
9907,28.0,2021-03-20
10314,22.2,2021-03-22
10369,41.75,2021-03-20
10378,25.0,2021-03-20
10136,46.12,2021-03-20
10413,17.0,2021-03-20
10395,38.0,2021-03-20
10463,46.5,2021-03-20
10013,47.75,2021-03-20
9671,22.0,2021-03-20
9712,51.0,2021-03-20
10392,39.066,2021-03-20
9178,55.45,2021-03-20
8909,40.0,2021-03-20
9319,55.7,2021-03-20
8862,32.0,2021-03-20
8975,42.0,2021-03-20
9615,52.0,2021-03-20
8943,62.6,2021-03-20
8373,99.9,2021-03-20
9041,61.0,2021-03-20
9486,26.6,2021-03-20
10216,22.5,2021-03-20
9454,54.0,2021-03-20
8821,60.0,2021-03-20
10173,45.4,2021-03-20
8390,90.0,2021-03-20
9621,27.0,2021-03-20
9470,26.7,2021-03-20
10145,45.95,2021-03-20
9956,24.25,2021-03-20
10298,22.15,2021-03-20
10010,47.75,2021-03-20
10311,23.0,2021-03-20
10175,22.7,2021-03-20
9963,30.0,2021-03-20
10036,24.0,2021-03-20
9926,115.92,2021-03-20
9998,48.05,2021-03-20
9892,25.0,2021-03-20
10276,43.0,2021-03-20
3702,10.0,2021-03-25
4570,10.0,2021-03-25
8454,10.0,2021-03-25
6233,12.75,2021-03-25
6309,19.72,2021-03-25
9778,20.0,2021-03-25
10377,20.85,2021-03-25
10478,20.8802,2021-03-25
6285,22.0,2021-03-25
10152,22.1,2021-03-25
10277,22.2,2021-03-25
10109,23.2,2021-03-25
3905,41.8762,2021-03-27
10086,23.4,2021-03-25
10074,23.52,2021-03-25
10062,24.0,2021-03-25
10025,24.0,2021-03-25
9944,25.0,2021-03-25
10134,25.0,2021-03-25
9670,25.75,2021-03-25
9683,26.0,2021-03-25
6125,27.688,2021-03-25
10454,27.75,2021-03-25
9330,27.85,2021-03-25
10455,28.0,2021-03-25
9433,28.0,2021-03-25
9238,29.0,2021-03-25
9799,30.0,2021-03-25
10070,30.0,2021-03-25
9556,30.0,2021-03-25
10359,30.52,2021-03-25
6381,30.856,2021-03-25
9010,31.0,2021-03-25
9693,31.175,2021-03-25
8849,35.0,2021-03-25
6580,35.0,2021-03-25
8666,35.0,2021-03-25
8774,35.0,2021-03-25
8627,36.0,2021-03-25
10404,36.26,2021-03-25
8492,39.55,2021-03-25
10386,40.0,2021-03-25
9308,40.0,2021-03-25
9307,40.0,2021-03-25
8460,41.1,2021-03-25
10328,44.0,2021-03-25
10263,44.0,2021-03-25
10350,44.1013,2021-03-25
10231,44.679,2021-03-25
10113,46.4,2021-03-25
10292,46.466,2021-03-25
10059,47.5,2021-03-25
9952,48.6,2021-03-25
9937,48.704,2021-03-25
6032,48.72,2021-03-25
9930,48.75,2021-03-25
8540,50.0,2021-03-25
9837,50.0,2021-03-25
9734,51.04,2021-03-25
9719,51.05,2021-03-25
9373,52.0,2021-03-25
9584,52.2,2021-03-25
9400,54.5441,2021-03-25
9271,56.55,2021-03-25
9131,59.315,2021-03-25
9040,61.0147,2021-03-25
8942,62.65,2021-03-25
8921,62.65,2021-03-25
8907,62.8345,2021-03-25
8810,65.243,2021-03-25
8424,66.05,2021-03-25
8769,66.07,2021-03-25
8679,69.3,2021-03-25
8617,72.1,2021-03-25
8485,80.0,2021-03-25
9113,82.0,2021-03-25
8364,104.4004,2021-03-25
9137,59.1598,2021-03-28
6494,12.75,2021-03-29
10427,15.0,2021-03-29
10405,19.0,2021-03-29
5949,19.4403,2021-03-29
6462,21.0,2021-03-29
10210,23.0,2021-03-29
10040,24.0,2021-03-29
9872,24.7,2021-03-29
9495,25.0,2021-03-29
9863,25.0,2021-03-29
3888,25.0,2021-03-29
9743,25.55,2021-03-29
10470,26.0,2021-03-29
9614,26.0,2021-03-29
9635,26.0,2021-03-29
9581,26.0,2021-03-29
10466,26.3435,2021-03-29
10462,27.311,2021-03-29
10459,27.7,2021-03-29
9305,28.0,2021-03-29
9338,28.0,2021-03-29
6308,28.0,2021-03-29
9026,29.0,2021-03-29
9210,29.0,2021-03-29
9162,29.35,2021-03-29
6180,29.75,2021-03-29
6335,39.75,2021-03-29
9382,30.0,2021-03-29
9197,30.0,2021-03-29
9221,30.0,2021-03-29
9039,31.0,2021-03-29
8846,32.001,2021-03-29
9814,32.1082,2021-03-29
9679,35.0,2021-03-29
8547,38.0,2021-03-29
8498,40.0,2021-03-29
8433,41.5,2021-03-29
10376,42.0,2021-03-29
8450,42.0,2021-03-29
10295,44.2474,2021-03-29
5912,44.25,2021-03-29
10250,44.46,2021-03-29
10183,45.0,2021-03-29
10163,45.549,2021-03-29
10102,47.0,2021-03-29
9950,48.65,2021-03-29
9927,48.7202,2021-03-29
9888,49.198,2021-03-29
9850,49.22,2021-03-29
9666,51.5203,2021-03-29
9552,52.0,2021-03-29
9602,52.0,2021-03-29
9513,52.843,2021-03-29
9229,54.35,2021-03-29
8363,55.0,2021-03-29
9366,55.25,2021-03-29
9290,56.2,2021-03-29
9124,59.49,2021-03-29
6367,61.0,2021-03-29
8983,62.0,2021-03-29
8924,62.65,2021-03-29
8612,72.0,2021-03-29
8601,73.5,2021-03-29
8565,76.0,2021-03-29
10435,27.85,2021-03-25
5948,19.1,2021-03-29
8385,50.0,2021-03-30
8452,42.0,2021-03-30
9430,34.0,2021-03-30
9429,27.02,2021-03-30
9840,25.0,2021-03-30
9969,28.0,2021-03-30
10078,47.0,2021-03-30
3716,10.0,2021-03-30
10222,22.4,2021-03-30
10317,23.0,2021-03-30
6612,44.04,2021-03-30
8663,35.0,2021-03-30
9062,31.0,2021-03-30
8631,40.0,2021-03-30
9044,31.0,2021-03-30
10045,24.0,2021-03-30
10162,23.0,2021-03-30
10257,42.7,2021-03-30
10340,25.0,2021-03-30
6507,30.0,2021-03-30
6167,50.0,2021-03-30
10165,44.0,2021-03-30
9894,30.0,2021-03-30
9108,30.0,2021-03-30
9702,51.0644,2021-03-30
6693,14.0,2021-03-30
8986,48.5,2021-03-30
9819,26.0,2021-03-30
5875,13.95,2021-03-30
8596,37.0,2021-03-30
8381,96.11,2021-03-30
10296,23.0,2021-03-30
9887,49.0,2021-03-30
8667,40.0,2021-03-30
9447,26.9,2021-03-30
10032,20.0,2021-03-30
9817,26.0,2021-03-30
9835,25.0,2021-03-30
9306,27.85,2021-03-30
8599,38.0,2021-03-30
9913,48.85,2021-03-30
8760,36.0,2021-03-30
9216,29.0,2021-03-30
8723,67.0,2021-03-30
9777,50.72,2021-03-30
9028,32.0,2021-03-30
9395,54.6,2021-03-30
5888,20.02,2021-03-30
9357,55.2924,2021-03-30
9247,29.0,2021-03-30
9038,30.0,2021-03-30
8989,136.823,2021-03-30
9493,27.0,2021-03-30
10148,45.904,2021-03-30
9716,51.041,2021-03-30
10398,20.0,2021-03-30
9155,29.0,2021-03-30
8493,50.0,2021-03-30
8570,75.0,2021-03-30
9940,30.0,2021-03-30
6505,48.72,2021-03-30
10057,50.0,2021-03-30
9309,28.0,2021-03-30
9680,51.35,2021-03-30
9324,27.84,2021-03-30
9504,26.5,2021-03-30
9537,51.935,2021-03-30
10106,40.0,2021-03-30
10002,50.0,2021-03-30
9544,20.0,2021-03-30
10084,46.92,2021-03-30
10464,27.0,2021-03-30
6320,31.36,2021-03-30
9821,25.0,2021-03-30
10407,17.5,2021-03-30
5922,67.35,2021-03-30
8404,45.0,2021-03-30
3667,66.0,2021-03-30
9418,66.6034,2021-03-30
9595,52.0,2021-03-30
8954,40.0,2021-03-30
8533,76.55,2021-03-30
9200,57.0,2021-03-30
4313,63.7612,2021-03-30
8503,39.0,2021-03-30
9207,57.757,2021-03-30
5864,30.075,2021-03-30
8028,20.0,2021-03-30
9991,24.05,2021-03-30
10444,27.85,2021-03-30
9787,50.56,2021-03-30
10487,28.35,2021-03-30
5787,37.5152,2021-03-30
8726,35.0,2021-03-30
9958,48.55,2021-03-30
3982,10.0,2021-03-30
8653,250.0,2021-03-30
6028,39.0,2021-03-30
8133,32.0,2021-03-30
9132,59.185,2021-03-30
10065,33.096,2021-03-30
9748,25.5,2021-03-30
5813,23.033,2021-03-30
8708,68.02,2021-03-30
8138,7.0,2021-03-30
8360,69.75,2021-03-30
9996,45.65,2021-03-30
6164,17.391,2021-03-30
9646,26.0,2021-03-30
5842,64.778,2021-03-30
9833,49.85,2021-03-30
9921,25.0,2021-03-30
6171,65.7,2021-03-30
9184,40.0,2021-03-30
6126,22.0,2021-03-30
8987,62.099,2021-03-30
8576,74.427,2021-03-30
8481,118.538,2021-03-30
9176,58.4631,2021-03-30
9126,30.0,2021-03-30
8856,32.0,2021-04-07
8558,75.3,2021-04-07
8625,36.0,2021-04-07
8556,38.0,2021-04-07
9960,20.0,2021-04-07
10240,42.5,2021-04-07
8822,65.0,2021-04-07
8845,60.0,2021-04-07
9938,49.0,2021-04-07
10474,23.0,2021-04-07
8919,62.7,2021-04-07
10394,20.0,2021-04-07
9707,51.05,2021-04-07
8642,70.75,2021-04-07
9994,48.05,2021-04-07
6577,34.8,2021-04-07
9562,52.21,2021-04-07
5825,66.12,2021-04-07
9965,48.42,2021-04-07
8072,2.81,2021-04-07
8727,15.0,2021-04-07
6608,22.04,2021-04-07
8240,14.75,2021-04-07
8658,20.0,2021-04-07
9186,46.3,2021-04-07
9262,56.66,2021-04-30
9524,30.0,2021-04-07
9465,53.16,2021-04-07
8920,62.65,2021-04-07
9747,51.026,2021-04-07
9772,25.5,2021-04-07
10212,23.0,2021-04-07
9703,51.1,2021-04-07
8665,35.0,2021-04-07
8785,65.7,2021-04-30
9892,25.0,2021-04-30
6407,15.0,2021-04-07
8583,37.15,2021-04-07
9264,35.0,2021-04-07
6522,74.8432,2021-04-07
8031,29.07,2021-04-07
9849,49.75,2021-04-07
10015,47.723,2021-04-30
9372,28.0,2021-04-07
10288,44.3,2021-04-07
6231,44.08,2021-04-07
5928,44.12,2021-04-07
10297,44.24,2021-04-07
6610,41.5,2021-04-07
9909,49.0,2021-04-07
6671,13.95,2021-04-07
6416,22.25,2021-04-07
8884,65.0,2021-04-07
6686,44.0,2021-04-07
